,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
Albania,32.92634964,30.38073158,30.8127327,31.28226852,28.10087585,32.61089706,30.87381172,30.11943245,31.82078934,31.71029663,36.23591995,32.24325943,37.97888947,38.4245491,41.5798912,40.29393768,41.5502739,42.63174438
Austria,67.28100586,68.63423157,69.04639435,64.72753143,67.3132782,69.95604706,70.35813141,71.54949188,72.28845978,68.38736725,67.99273682,68.52414703,69.06106567,68.93009949,73.65445709,75.35705566,74.69898224,75.29880524
Belgium,69.56962585,71.01602936,67.17982483,63.6362648,69.24559784,71.03068542,70.29150391,75.99047089,76.9465332,71.26618958,72.80675507,71.54468536,73.07395935,69.6102066,80.01340485,78.93038177,75.42637634,77.29569244
Bosnia and Herzegovina,71.53592682,69.01338196,70.70965576,67.61535645,70.74129486,76.25795746,72.19578552,75.28853607,76.93658447,76.78314972,78.08973694,77.16743469,77.42339325,77.4535675,81.78417969,84.22944641,82.9391861,84.04209137
Bulgaria,68.75704956,69.5240097,69.04039764,69.21038055,69.84996796,73.74552155,73.33347321,74.54515839,74.33620453,74.56214905,75.94940186,72.61410522,76.7288208,77.38245392,80.64499664,80.57448578,81.3143158,80.4919281
Croatia,75.26952362,77.21168518,78.0368576,75.27960205,76.2950058,79.65896606,79.16329193,81.24252319,80.72865295,74.32339478,76.35301971,77.20687866,78.70952606,78.6630249,81.5759964,83.63288879,82.53279877,83.49742126
Czechia,70.95279694,69.45706177,67.64671326,68.43242645,70.66389465,72.47885895,72.81066132,75.65316772,76.32899475,70.37111664,73.10441589,71.93166351,72.45668793,71.55897522,77.22792053,77.87562561,76.39443207,77.85601807
Denmark,55.18946075,58.5002861,55.34989548,51.12886429,54.4647522,54.72249985,57.7114563,60.19322968,59.82089996,57.02971649,56.83867645,55.14450073,55.44252396,53.46842194,57.44068909,61.68677902,57.68777084,61.95759201
Estonia,64.67787933,63.48047256,68.21817017,64.29608154,66.74504852,71.00113678,67.68061066,71.60031128,71.60921478,70.36775208,70.55154419,72.08539581,70.68179321,72.00080109,79.03057861,79.64073181,77.15481567,79.03239441
Finland,56.66597366,58.05286789,54.34989929,54.00047684,56.26697159,60.80401993,58.24740601,57.1104393,57.72274017,62.54580307,61.94054413,55.54341888,60.00188065,58.6750145,70.31809998,69.09926605,68.43444824,67.14451599
France,65.87506104,69.0545578,66.52037811,66.2692337,68.85700989,68.3171463,69.46268463,72.12251282,71.57819366,67.37814331,67.09710693,66.27246094,68.53666687,66.37954712,75.799263,72.57099915,72.50606537,72.11251068
Germany,64.98355103,64.36978912,63.53009033,61.53928757,66.82254791,66.75193787,67.58585358,69.8405838,71.79357147,65.41033173,68.09693146,68.39455414,68.29644775,64.8649292,74.8216095,74.389328,71.05279541,72.01141357
Greece,38.82795334,38.72380066,39.20439529,41.25164032,38.04881668,43.21692276,40.87263107,38.20413589,41.67074966,44.72235107,46.1121254,43.43723679,47.99052048,44.14719772,51.74121094,53.18437195,54.73723602,55.21074677
Hungary,58.26766205,60.76638794,53.93993378,57.92366791,59.51464462,62.40795517,65.76483154,63.59691238,63.95407104,59.49921799,66.95228577,62.12229156,64.69002533,63.89395523,69.56070709,66.09519958,69.08739471,72.40527344
Ireland,52.04834747,62.973423,56.64171219,53.82975006,28.43595123,63.42765427,64.83454132,65.66632843,67.52916718,64.44146729,61.05953979,50.39032364,40.41197586,47.02821732,70.19886017,69.35947418,70.08255005,70.71282959
Italy,39.0374794,47.69314957,48.12474823,47.51812744,46.90114212,49.55456161,48.02103806,49.50770187,49.14120483,49.30303574,43.02371597,49.2467041,50.49769211,51.39970779,52.65453339,54.5089798,53.80774307,53.56437302
Latvia,66.98807526,66.11954498,66.59571075,65.24733734,66.39083099,70.79295349,69.83621216,71.37169647,73.33960724,70.00180054,72.20713043,72.84647369,70.8753891,71.85708618,77.81464386,78.58834076,77.19452667,77.53604126
Lithuania,71.15273285,71.53247833,70.87998962,67.69049072,69.20122528,72.9716568,72.06214905,75.09766388,75.92305756,74.11945343,73.97494507,73.79412842,73.10523987,74.08817291,80.50263214,80.89575958,80.01567078,79.08222961
Luxembourg,74.73805237,76.45964813,73.57505798,70.48592377,72.62937164,75.03449249,77.20085144,79.06304169,80.59410095,73.83603668,76.26399994,76.34550476,78.05754089,74.00809479,81.75325012,80.21788025,79.57911682,79.35448456
Malta,17.52529716,17.4513607,19.05436516,18.5437603,17.66456413,20.42699051,19.65394592,18.7308197,15.76347637,19.01560593,20.0906353,20.2589817,21.17314148,0,23.09587288,23.13252258,23.56156349,25.32553673
Netherlands,59.93856812,60.71048737,56.09947205,51.85467529,59.44485092,61.587677,59.58525848,65.85939789,64.83717346,57.69133377,61.90435791,60.64588165,60.86505127,58.07522964,67.52462006,68.21000671,63.8201828,67.71162415
North Macedonia,37.32104111,32.84050369,32.58347702,37.10261917,30.29050827,37.58929825,36.42858505,34.10625458,35.30135345,39.77840805,40.00064087,30.41549301,39.7886734,40.82707214,48.44953156,51.82341766,46.11362839,50.81842041
Norway,32.02263641,34.47754669,27.43128395,30.0876255,35.37018585,38.88154221,34.42216873,37.56074524,39.76430893,35.59762955,40.88884735,30.56682205,37.70347214,34.60622406,47.2221756,46.03919601,44.53297424,42.49729919
Poland,62.0908165,65.0559845,62.93600845,57.96691132,63.57614899,66.71009827,66.57707977,69.31224823,69.52662659,65.63302612,67.52570343,66.91802216,68.29888916,68.00238037,75.10761261,75.48047638,74.34936523,73.59437561
Slovakia,60.30286789,71.29363251,69.97954559,66.4881134,70.3458786,72.62710571,73.52703857,74.30499268,76.59600067,69.5695343,73.68136597,69.86550903,72.46992493,73.09483337,78.9600296,80.05461884,78.66669464,78.72853088
Slovenia,74.55431366,76.30911255,77.09803009,74.98595428,76.6182785,77.88648987,79.20742798,81.4201889,82.00139618,77.02173615,76.25760651,78.09116364,78.57488251,77.7485199,81.58787537,83.15086365,82.63750458,83.6145401
Spain,55.75163269,61.19152069,58.28683853,56.71674728,60.15144348,60.46516037,61.09573746,63.58240891,63.30700684,60.45337296,58.84941864,63.67466354,62.67404556,61.1679306,69.52696228,68.64015198,69.11429596,70.06856537
Sweden,59.76589203,61.39145279,58.92203903,56.21700287,58.55011749,63.48231125,62.305439,65.13219452,63.50886154,63.28124619,63.05815506,63.62340927,61.24636078,56.56993866,71.64648438,70.92874908,70.2460022,69.77519226
Switzerland,68.15103912,66.10516357,68.02198792,64.91699982,69.21755219,68.72683716,70.38977814,73.40769958,74.91203308,67.02285767,69.13716125,69.73826599,70.92042542,68.03656769,75.77373505,75.28897858,72.02936554,75.86401367
United Kingdom,35.25431061,43.2575798,61.86119843,44.53408432,62.6569252,65.12496185,61.46633148,68.77179718,61.50618744,47.54715347,51.04071808,55.9078331,59.93689346,47.98958969,73.08188629,70.43039703,70.45120239,72.23466492
